,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161A0050B006,1.91,50,43.9,50,26.2,343,397,115,175,50,230,M12,14,1,2,external
B25161A0100B006,1.91,100,87.8,50,52.5,343,397,115,275,100,230,M16,20,1,2,external
B25161A0150B006,1.91,150,131.6,50,78.7,343,397,115,400,200,230,M16,27,1,2,external
B25161A0200B006,1.91,200,175.5,50,105,343,397,115,500,200,230,M16,33,1,2,external
B25161B0050B007,2.4,50,27.6,50,20.8,343,397,115,175,50,230,M12,14,1,2,external
B25161B0100B007,2.4,100,55.3,50,41.7,343,397,115,275,100,230,M16,20,1,2,external
B25161B0150B007,2.4,150,82.9,50,62.5,343,397,115,375,100,230,M16,26,1,2,external
B25161B0200B007,2.4,200,110.6,50,83.3,343,397,115,475,200,230,M16,31,1,2,external
B25161B0233B007,2.4,233.3,129,50,97.2,343,397,115,525,200,230,M16,34,1,2,external
B25161B0250B007,2.4,250,138.2,50,104.2,343,397,115,550,200,230,M16,36,1,2,external
B25161C0050B007,3.3,50,14.6,50,15.2,343,397,115,175,50,230,M12,14,1,2,external
B25161C0100B007,3.3,100,29.2,50,30.3,343,397,115,275,100,230,M16,20,1,2,external
B25161C0150B007,3.3,150,43.9,50,45.5,343,397,115,375,100,230,M16,26,1,2,external
B25161C0167B007,3.3,166.7,48.7,50,50.5,343,397,115,425,200,230,M16,29,1,2,external
B25161C0200B007,3.3,200,58.5,50,60.6,343,397,115,475,200,230,M16,31,1,2,external
B25161C0233B007,3.3,233.3,68.2,50,70.7,343,397,115,550,200,230,M16,36,1,2,external
B25161C0250B007,3.3,250,73.1,50,75.8,343,397,115,575,200,230,M16,37,1,2,external
B25161C0267B007,3.3,266.7,78,50,80.8,343,397,138,500,200,230,M16,38,1,2,external
B25161C0300B007,3.3,300,87.7,50,90.9,343,397,138,550,200,230,M16,41,1,2,external
B25161C0050B008,3.81,50,11,50,13.1,343,397,115,175,50,230,M12,14,1,2,external
B25161C0100B008,3.81,100,21.9,50,26.2,343,397,115,275,100,230,M12,20,1,2,external
B25161C0150B008,3.81,150,32.9,50,39.4,343,397,115,400,200,230,M16,27,1,2,external
B25161C0200B008,3.81,200,43.9,50,52.5,343,397,115,500,200,230,M16,33,1,2,external
B25161C0250B008,3.81,250,54.8,50,65.6,343,397,115,600,200,230,M16,39,1,2,external
B25161C0300B008,3.81,300,65.8,50,78.7,343,397,138,575,200,230,M16,43,1,2,external
B25161C0400B008,3.81,400,87.8,50,105,343,397,155,650,200,230,M16,53,1,2,external
B25161D0050B007,4.19,50,9.1,50,11.9,343,397,115,175,50,230,M12,14,1,2,external
B25161D0100B007,4.19,100,18.1,50,23.9,343,397,115,250,100,230,M12,19,1,2,external
B25161D0150B007,4.19,150,27.2,50,35.8,343,397,115,325,100,230,M16,23,1,2,external
B25161D0200B007,4.19,200,36.3,50,47.7,343,397,115,425,200,230,M16,29,1,2,external
B25161D0250B007,4.19,250,45.4,50,59.7,343,397,115,500,200,230,M16,33,1,2,external
B25161D0300B007,4.19,300,54.4,50,71.6,343,397,115,600,200,230,M16,39,1,2,external
B25161D0400B007,4.19,400,72.6,50,95.5,343,397,138,625,200,230,M16,46,1,2,external
B25161D0050B008,4.8,50,6.9,50,10.4,343,397,115,175,50,230,M12,14,1,2,external
B25161D0100B008,4.8,100,13.8,50,20.8,343,397,115,275,100,230,M12,20,1,2,external
B25161D0150B008,4.8,150,20.7,50,31.3,343,397,115,375,100,230,M16,26,1,2,external
B25161D0200B008,4.8,200,27.6,50,41.7,343,397,115,475,200,230,M16,31,1,2,external
B25161D0250B008,4.8,250,34.6,50,52.1,343,397,115,550,200,230,M16,36,1,2,external
B25161D0300B008,4.8,300,41.5,50,62.5,343,397,138,550,200,230,M16,41,1,2,external
B25161D0400B008,4.8,400,55.3,50,83.3,343,397,155,625,200,230,M16,51,1,2,external
B25161F0050B006,6.35,50,3.9,50,7.9,343,397,115,175,50,230,M12,14,1,2,external
B25161F0100B006,6.35,100,7.9,50,15.7,343,397,115,300,100,230,M12,21,1,2,external
B25161F0150B006,6.35,150,11.8,50,23.6,343,397,115,400,200,230,M12,27,1,2,external
B25161F0200B006,6.35,200,15.8,50,31.5,343,397,115,500,200,230,M16,33,1,2,external
B25161F0250B006,6.35,250,19.7,50,39.4,343,397,115,600,200,230,M16,39,1,2,external
B25161F0300B006,6.35,300,23.7,50,47.2,343,397,138,575,200,230,M16,43,1,2,external
B25161F0400B006,6.35,400,31.6,50,63,343,397,155,650,200,230,M16,53,1,2,external
B25161F0500B006,6.35,500,39.5,50,78.7,350,404,178,750,300,230,M16,69,1,2,external
B25161F0600B006,6.35,600,47.4,50,94.5,350,404,178,875,300,230,M16,80,1,2,external
B25161F0050B007,6.6,50,3.7,50,7.6,343,397,115,175,50,230,M12,14,1,2,external
B25161F0100B007,6.6,100,7.3,50,15.2,343,397,115,275,100,230,M12,20,1,2,external
B25161F0150B007,6.6,150,11,50,22.7,343,397,115,375,100,230,M12,26,1,2,external
B25161F0200B007,6.6,200,14.6,50,30.3,343,397,115,475,200,230,M16,31,1,2,external
B25161F0250B007,6.6,250,18.3,50,37.9,343,397,115,550,200,230,M16,36,1,2,external
B25161F0300B007,6.6,300,21.9,50,45.5,343,397,138,550,200,230,M16,41,1,2,external
B25161F0400B007,6.6,400,29.2,50,60.6,343,397,155,625,200,230,M16,51,1,2,external
B25161F0500B007,6.6,500,36.6,50,75.8,350,404,178,700,300,230,M16,64,1,2,external
B25161G0050B007,7.26,50,3,50,6.9,343,397,115,200,100,230,M12,16,1,2,external
B25161G0100B007,7.26,100,6,50,13.8,343,397,115,325,100,230,M12,23,1,2,external
B25161G0150B007,7.26,150,9.1,50,20.7,343,397,115,425,200,230,M12,29,1,2,external
B25161G0200B007,7.26,200,12.1,50,27.5,343,397,115,550,200,230,M12,36,1,2,external
B25161G0250B007,7.26,250,15.1,50,34.4,343,397,138,525,200,230,M16,40,1,2,external
B25161G0300B007,7.26,300,18.1,50,41.3,343,397,138,625,200,230,M16,46,1,2,external
B25161G0400B007,7.26,400,24.2,50,55.1,343,397,178,675,200,230,M16,62,1,2,external
