Primary kV,Secondary kV,SKU,Primary Voltage,KVA,%Z,X/R,Full load loss [kW],No load loss [kW],Secondary Voltage,Feed,Config.,Bushing Qty,Winding,LBOR,Housing,Pri. BIL,Freq.,Cooling
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,5,1.10,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-10KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,10,1.20,1.00,0.80,0.05,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-15KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,15,1.40,1.10,0.90,0.06,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-25KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,25,1.60,1.10,0.90,0.07,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-37.5KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,37.5,2.30,1.40,1.05,0.08,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-50KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,50,2.60,1.60,1.20,0.09,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-75KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,75,2.75,1.80,1.50,0.12,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-100KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,100,3.00,2.00,1.75,0.15,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-167KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,167,3.35,2.50,2.35,0.21,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-250KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,250,3.75,3.60,3.25,0.30,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-333KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,333,4.00,4.70,3.90,0.36,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-500KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,500,4.20,5.50,5.50,0.51,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
5 kV,4800GrdY/2771 Primary - 240/120V Secondary,MT-PML-R7-1P-GNF-833KVA-SZ-LT-DF-A6-BB-CZ-2B4-M1,4160GrdY/2400,833,4.45,6.50,8.40,0.63,240/120V,Loop,ANSI Type II,"(2) HV, (3) LV",Copper,(1) 4-Pos,Steel,60 Kv,60 Hz,KNAN
